,reviews,stars,date,Verified
45,verifi top ten reason use british airway awar notic travel risk travel year mani differ airlin say british airway rank one top two horribl airlin fli wast time money custom servic non exist pleas notic purchas ticket money kiss custom servic help resolv issu goodby use travel europ worst experi airlin year work hard save money travel expect good experi welp compani sure make million custom per year understand sometim thing happen start right book flight bad experi end set foot back hometown pleas take note 1 custom servic number buri internet list websit googl still got run around someon final answer trust number secret 2 final find custom servic number long wait someon answer resolv issu instead pass buck whatev airlin sold ticket one take ownership 4 airlin oper 365 day year around clock custom servic rep help custom british airway 5 cancel flight without notic notifi email text 6 primari ticket get notif even primari may may get notif 7 pay seat pick matter cancel seat refund money play stupid 8 flight may cheaper done pay seat 9 rout anoth partner airlin notifi 10 connect flight cancel one leg notifi never use review help one person heed advic job done ,2,2023-05-23,False
46,verifi easi check way heathrow flight time issu return flight valencia book afternoon long haul flight arriv earli heathrow anoth airlin connect flight ask british airway check could put onto morn flight back valencia avoid seven hour wait heathrow flight chang cost check within five minut inde custom servic thank ,1,2023-05-23,False
47, trip verifi onlin check work fine quick secur check onboard quick flight glasgow water snack provid pleas cheap quick effici ,10,2023-05-23,True
48, trip verifi ba first loung termin 5 zoo 2pm dirti tabl use tablewar everywher wors usual atroci board gate servic board start 50 min late flight oper finnair a320 bare low cost standard let alon busi class hard thin uncomfort seat poor legroom cabin simpli tatti remain shock ba allow time ba ceo manag focus standard rather bean count finnair cabin staff fundament courteous provid trim budget airlin type servic whole trip turn yet busi class ticket one expens recent trip thought post covid ba better month mani cost cut make fall well european full servic airlin ,10,2023-05-22,True
49,verifi paid quick visit nice yesterday heathrow decid go busi class sinc last short haul flight economi real crush rather unpleas paid 300 busi class round trip went ba loung termin 5 crowd 6 30 morn decid drink stuck breakfast offer cook option look appeal fresh fruit select enjoy subsequ discov much nicer ba loung closer gate b36 wait 40 min board effici got seat 2a 2c seat 2b block act addit tabl seem differ width seat cramp seat economi may addit inch leg room think ba tri outdo easyjet term frill would cost ba much suppli busi class passeng complimentari newspap read flight inflight magazin longer avail screen zero term flight entertain inflight wifi flaki best non exist time glad two hour flight realli think fare paid worth money,2,2023-05-22,False
50, trip verifi word fail describ last aw flight babi across aisl cri flight although horribl go without rest long flight lhr sfo understand babi cri nonstop crew yakk loud galley even polit notif convers could heard cabin made flight unbear rest sleep alway difficult anyway westbound food bad turn whatev nasti offer 2nd servic happen realli nice tea scone said suffer ba concept custom servic e anyth help passeng involv extra work time swear mean never ba pleas loung pack even singl travel hard time find seat poor ba skid downhil ,4,2023-05-19,True
51, trip verifi absolut terribl experi app would let check onlin repeat ask covid document ept even provid tri fli back usa citizen app caus repeat error went british airway custom servic check told seat alreadi given away anoth passeng even though plenti time also industri action heathrow mean number flight limit delay 24 hour return usa terribl app bad custom servic give away seat even paid passeng alreadi airport ,2,2023-05-17,True
52, trip verifi ba overbook everi flight maximis incom regard custom mean cannot check onlin kiosk airport queue even luggag make easyjet ryanair look like custom champion server itsu ba termin say stop fli ba year ago due servic bad time custom serv complaint staff care poor servic unhappi custom routin urrenc ,1,2023-05-17,True
53, trip verifi flight time except belfast london never staff effici issu app could book seat tel aviv though tri month want pay end middl seat even though window seat avail flight seat front divid barrier use thoroughfar servic team throughout flight wast money pe seat get hold ba custom servic via app either ignor communic use ,1,2023-05-17,True
54,verifi second time fli ba first time posit could made connect heathrow ba proactiv instead overnight renaiss hotel compliment ba adequ one wonder larg part hotel devot sleep feed hundr strand passeng ba offer one employe help us get gate instead wait shuttl bus half hour late arriv could made flight save ba cost rebook hotel shuttl food ommod anoth bad show busi class fare offer ,1,2023-05-14,False
55, trip verifi go bother review flight seem perpetu downer ba airport experi convinc otherwis flight class reduc first busi offer altern rout outward leg first make disappoint reneg special anniversari suck fli back check onlin chosen window seat gate show passport passport board hand luggag tri board passport check twice issu new board card centr seat unbeliev flight quiet half normal crew aircraft unavail meant pre departur drink limit select food crew great earth go ba uniqu knack snatch defeat jaw victori everi time say new club suit great ,3,2023-05-14,True
56, trip verifi book busi class ticket fianc reschedul flight due unforeseen time chang call get flight refund repres phone inform sure much would get refund depart need check estim would lose 10 20 book fee ept never got cancel email updat instead receiv 35 total back less 1 book cost sinc spent 5 hour call differ depart block lost tremend amount money noth show ,3,2023-05-13,True
57, trip verifi never travel british airway spent 10 000 busi class seat attend funer uk first boe 787 9 cabin 7 seat across aisl get realiti premium economi seat narrow effect busi class seat cut half squeez seat mean passeng bump head bulkhead stand mani clamber other go toilet wake passeng whole point busi class pay rest privaci someon push top second food disgust third servic terribl fourth toilet tini fifth inflight screen fix high could see anyth sixth baggag handl also appal mean taxi wait 2 hour pay free airport transfer british airway seventh charg point work second leg london larger plane 4 seat across aisl bearabl hop peopl seat uncomfort one piec mean sleep metal bar seat gap seat add insult injuri find flight back sydney small plane book seat check 170 paid note 4 seat left got worst seat hous go appal airlin servic ever encount point pay busi class british airway ,1,2023-05-08,True
58, trip verifi alreadi portug contact today cancel return flight 10 minut late call even though tri 2 hour get day unabl get back kept 500 pound custom servic shock intent help ,1,2023-05-06,True
59, trip verifi terribl avoid airlin becom regular practic cancel flight cancel switzerland forc us spend whole night cheap hotel fli next day anoth cancel spain airlin know ask expens price ,1,2023-05-06,True
60, trip verifi despit gold member british airway staff heathrow liter could care slightest absolut turmoil logist damag wider impact terribl servic staff member repeat mantra oblig provid even updat first 24 hour would make situat better proactiv updat empathi care lot actual lie told tell given care thought passeng actual individu show everi action word say better suit work away human ,1,2023-05-01,True
61,verifi regard aircraft seat busi class seat flight pretti good suit type everi seat booth slide door extra privaci downsid travel coupl quit difficult interact ampl storag usb charg port seat pretti comfort someon find difficult sleep flight one time abl get minut sleep amen provid pretti averag compar airlin leather toiletri bag quit nice though slipper pair sock restroom flight small provid much way toiletri compar airlin free wi fi busi class eptabl anoth exampl ba penni pinch recent year regard staff custom servic poor inattent beyond meal time offer water flight go find attend ask also offer snack rude time partner ask fork replac one provid quit clear dirti attend incred rude respons left us shock differ custom seem receiv differ qualiti servic custom behind repeat greet polit name ask whether need anyth etc wherea partner afford level person servic disappoint paid price ticket expect level servic food pretti bad risotto partner chicken extrem cook rice look like porridg veget discolour flavourless bread nice though breakfast much better summari ba becom ryanair long haul custom servic way would expect premium airlin premium seat pay premium price averag servic option avail would choos ba day ,2,2023-04-28,False
